url,car,price,model year,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,pic,
https://humboldt.craigslist.org/cto/d/willow-creek-dodge-durango-2005-v8/7073016054.html,2005 2005 dodge durango,2950,2005,1D4H,excellent,8cylinders,4wd,gas,182000,white,sub-compact,clean,other,SUV,https://images.craigslist.org/00E0E_bjZbIaSWL5A_600x450.jpg,
https://humboldt.craigslist.org/cto/d/crescent-city-dodge-durango-citadel/7072189529.html,2015 dodge durango citadel,24000,2015,,excellent,8cylinders,,gas,71000,white,,clean,automatic,SUV,https://images.craigslist.org/01414_4zkSmPgIOZC_600x450.jpg,
https://redding.craigslist.org/ctd/d/sacramento-2013-dodge-durango-crew/7080058149.html,2013 DODGE DURANGO,13999,2013,1C4RDJDG2DC608521,,,,gas,135861,white,,clean,automatic,SUV,https://images.craigslist.org/01414_iDcwxaYEDYM_600x450.jpg,
https://redding.craigslist.org/cto/d/redding-1998-dodge-durango-slt-magnum/7079231557.html,1998 dodge durango slt,800,1998,,fair,8cylinders,4wd,gas,190000,white,,clean,automatic,,https://images.craigslist.org/00y0y_4D7dY6RrCw7_600x450.jpg,
https://redding.craigslist.org/cto/d/red-bluff-99-dodge-durango/7076712004.html,1999 dodge durango,2600,1999,,excellent,8cylinders,4wd,gas,137000,red,mid-size,clean,automatic,SUV,https://images.craigslist.org/00U0U_i5s1Pcy7Jk9_600x450.jpg,
https://redding.craigslist.org/cto/d/los-molinos-dodge-drango/7072322527.html,2000 dodge durango 2wd 4dr crew,2800,2000,1B4HR28Z4YF195937,good,8cylinders,fwd,gas,18000,blue,full-size,clean,automatic,SUV,https://images.craigslist.org/00p0p_mNc3cbq0rk_600x450.jpg,
https://redding.craigslist.org/cto/d/anderson-04-dodge-durango-obo/7071936955.html,2004 dodge durango,3000,2004,,,,,gas,42000,,,salvage,automatic,,https://images.craigslist.org/00S0S_7HnRR1Unpgz_600x450.jpg,
https://redding.craigslist.org/ctd/d/anderson-dodge-durango-all-wheel-drive/7069287397.html,2011 2011 DODGE DURANGO,11995,2011,,,,,gas,,,,clean,automatic,,https://images.craigslist.org/00E0E_bpGusGJsSB5_600x450.jpg,
https://redding.craigslist.org/ctd/d/anderson-dodge-durango-all-wheel-drive/7065008745.html,2011 2011 DODGE DURANGO,11995,2011,,,,,gas,,,,clean,automatic,,https://images.craigslist.org/00E0E_bpGusGJsSB5_600x450.jpg,
https://redding.craigslist.org/cto/d/redding-2004-dodge-durango/7064575536.html,2004 dodge durango limited,1000,2004,,good,8cylinders,rwd,gas,162735,blue,full-size,clean,automatic,SUV,https://images.craigslist.org/00J0J_lG7t6cKFs4r_600x450.jpg,
https://siskiyou.craigslist.org/cto/d/yreka-2003-dodge-durango-4-dr-4x4-suv/7066842018.html,2003 dodge durango 4x4,3500,2003,,excellent,8cylinders,4wd,gas,,red,mid-size,clean,automatic,SUV,https://images.craigslist.org/00V0V_fmiMs3PQTDm_600x450.jpg,
https://mendocino.craigslist.org/ctd/d/lakeport-2019-dodge-durango-suv-gt-white/7079167930.html,2019 Dodge Durango,0,,1C4RDJDG1KC557462,excellent,6cylinders,4wd,gas,26066,white,mid-size,clean,automatic,SUV,https://images.craigslist.org/00d0d_jKyVV4MTc9k_600x450.jpg,
https://mendocino.craigslist.org/ctd/d/lakeport-2019-dodge-durango-suv-gt-db/7076013914.html,2019 Dodge Durango,0,,1C4RDJDG2KC557292,excellent,6cylinders,4wd,gas,25776,,mid-size,clean,automatic,SUV,https://images.craigslist.org/00w0w_jbrQGspVvw3_600x450.jpg,
https://medford.craigslist.org/ctd/d/central-point-2005-dodge-durango-4dr/7082527387.html,2005 Dodge Durango,7998,2005,1D4HB48D65F622976,,8cylinders,4wd,gas,111007,blue,,clean,automatic,SUV,https://images.craigslist.org/00H0H_3VNhNXJOdgc_600x450.jpg,
https://medford.craigslist.org/cto/d/yreka-2003-dodge-durango-4-dr-4x4-8/7079101100.html,2003 dodge durango,3500,2003,,,8cylinders,4wd,gas,,red,mid-size,clean,automatic,SUV,https://images.craigslist.org/00V0V_fmiMs3PQTDm_600x450.jpg,
https://medford.craigslist.org/ctd/d/medford-2015-dodge-durango-2wd-4dr/7077747703.html,2015 Dodge Durango,19999,2015,1C4RDHDGXFC740437,,6cylinders,rwd,gas,71908,white,,clean,automatic,SUV,https://images.craigslist.org/01010_epTEdM2belF_600x450.jpg,
https://medford.craigslist.org/ctd/d/grants-pass-2002-dodge-durango-slt-we/7077060096.html,2002 Dodge Durango,5993,2002,1B4HS58N92F117650,,,,other,177029,,,clean,automatic,SUV,https://images.craigslist.org/00R0R_fPLNY7vhaU6_600x450.jpg,
https://medford.craigslist.org/ctd/d/central-point-2017-dodge-durango-sxt-awd/7075975174.html,2017 Dodge Durango,23799,2017,1C4RDJAG6HC921520,,6cylinders,4wd,gas,43113,white,,clean,other,SUV,https://images.craigslist.org/00h0h_fudNmxhJYFz_600x450.jpg,
https://medford.craigslist.org/ctd/d/bend-2016-dodge-durango-awd-limited-50k/7075000023.html,2016 Dodge Durango,23750,2016,1C4RDJDG5GC477119,excellent,6cylinders,4wd,gas,50000,silver,,clean,automatic,,https://images.craigslist.org/00P0P_ji86M7vVk1v_600x450.jpg,
https://medford.craigslist.org/ctd/d/portland-2014-dodge-durango-awd-all/7070747445.html,2014 Dodge Durango,23950,2014,1C4RDJEG9EC531209,,6cylinders,4wd,gas,60742,,,clean,automatic,SUV,https://images.craigslist.org/00y0y_943SBKpGNqU_600x450.jpg,
https://medford.craigslist.org/ctd/d/portland-2006-dodge-durango-4x4-4wd-slt/7069714116.html,2006 Dodge Durango,3900,2006,1D4HB48N46F153204,,8cylinders,4wd,gas,190910,,,clean,automatic,SUV,https://images.craigslist.org/00G0G_iIr23GyYti7_600x450.jpg,
https://medford.craigslist.org/cto/d/gold-hill-2016-dodge-durango-limited/7068719889.html,2016 dodge durango limited,24000,2016,,likenew,6cylinders,4wd,gas,77000,black,full-size,clean,automatic,SUV,https://images.craigslist.org/00p0p_hNOEneYFZC4_600x450.jpg,
https://medford.craigslist.org/ctd/d/grants-pass-2002-dodge-durango-slt-we/7066589313.html,2002 Dodge Durango,5993,2002,1B4HS58N92F117650,,,,other,177029,,,clean,automatic,SUV,https://images.craigslist.org/00R0R_fPLNY7vhaU6_600x450.jpg,
https://chico.craigslist.org/cto/d/chico-2006-dodge-durango-sxt/7082938332.html,2006 dodge durango sxt,3000,2006,,good,8cylinders,rwd,gas,176711,white,full-size,clean,automatic,SUV,https://images.craigslist.org/00g0g_jXrNTjl6A3X_600x450.jpg,
https://chico.craigslist.org/ctd/d/yuba-city-2001-dodge-durango-slt-4wd-30/7081747004.html,2001 Dodge Durango,4750,2001,1B4HS28N01F624370,,8cylinders,4wd,gas,148694,,,clean,automatic,SUV,https://images.craigslist.org/00F0F_kKlRrGFolD0_600x450.jpg,
https://chico.craigslist.org/cto/d/chico-2016-dodge-durango/7081038264.html,2016 Dodge Durango,26500,2016,,,,,gas,68000,,,clean,automatic,,https://images.craigslist.org/00E0E_eQIxpTPgOGm_600x450.jpg,
https://chico.craigslist.org/cto/d/willows-04-durango-hemi/7079407975.html,2004 dodge durango,3300,2004,,good,8cylinders,4wd,gas,200000,silver,full-size,clean,automatic,SUV,https://images.craigslist.org/01313_3mi2ReQJFEc_600x450.jpg,
https://chico.craigslist.org/ctd/d/gridley-2002-dodge-durango-sle/7075919236.html,2002 DODGE DURANGO,2995,2002,,good,8cylinders,rwd,gas,193000,silver,mid-size,clean,automatic,SUV,https://images.craigslist.org/00f0f_jvU2givUTB4_600x450.jpg,
https://chico.craigslist.org/ctd/d/sacramento-2009-dodge-durango-se-4x4/7075351740.html,2009 DODGE DURANGO,6995,2009,1D8HB38P09F712875,,,,other,102776,white,,clean,automatic,other,https://images.craigslist.org/00C0C_8TFw0HpyJ9q_600x450.jpg,
https://chico.craigslist.org/cto/d/chico-2000-durango/7072616363.html,2000 dodge durango,2500,2000,,,8cylinders,rwd,gas,195000,grey,,clean,automatic,,https://images.craigslist.org/00Y0Y_8Eqgs1mfhgN_600x450.jpg,
https://chico.craigslist.org/ctd/d/rocklin-2014-dodge-durango-limited-awd/7066443948.html,2014 DODGE DURANGO,17995,2014,1C4RDJDG8EC507713,,,,gas,91423,black,,clean,automatic,SUV,https://images.craigslist.org/00b0b_dQyw38JsTBM_600x450.jpg,
https://chico.craigslist.org/ctd/d/chico-2015-dodge-durango-limited/7065181775.html,2015 Dodge Durango,0,,1C4RDJDG1FC923619,,,,gas,75796,white,,clean,automatic,SUV,https://images.craigslist.org/00F0F_ap5ZXZoTKM_600x450.jpg,
https://chico.craigslist.org/ctd/d/gridley-2002-dodge-durango-sle/7064026519.html,2002 DODGE DURANGO,2995,2002,,good,8cylinders,rwd,gas,193000,silver,mid-size,clean,automatic,SUV,https://images.craigslist.org/00f0f_jvU2givUTB4_600x450.jpg,
https://klamath.craigslist.org/ctd/d/klamath-falls-2015-dodge-durango-awd/7078485673.html,2015 Dodge Durango,19992,2015,1C4RDJDG6FC781946,,6cylinders,4wd,gas,96793,,,clean,automatic,SUV,https://images.craigslist.org/00T0T_cWnNpQkuuAI_600x450.jpg,
https://klamath.craigslist.org/ctd/d/klamath-falls-2013-dodge-durango-2wd/7074750458.html,2013 Dodge Durango,0,,1C4RDHDG7DC698046,,6cylinders,rwd,gas,104096,red,,clean,automatic,SUV,https://images.craigslist.org/00b0b_fQlBtpOBQ8q_600x450.jpg,
https://klamath.craigslist.org/ctd/d/klamath-falls-2017-dodge-durango-sxt-awd/7071586360.html,2017 Dodge Durango,0,,1C4RDJAG6HC762160,,6cylinders,4wd,gas,37769,,,clean,automatic,SUV,https://images.craigslist.org/00E0E_df0XnYe6Ae2_600x450.jpg,
